sample,class,id,order,batch
20210420_001,zero,20210420_001,69,3
20210420_003,solvent,20210420_003,70,3
20210420_005,process blank,20210420_005,71,3
20210420_007,cQC,20210420_007,72,3
20210420_009,cQC,20210420_009,73,3
20210420_011,cQC,20210420_011,74,3
20210420_013,cQC,20210420_013,75,3
20210420_015,cQC,20210420_015,76,3
20210420_017,cQC,20210420_017,77,3
20210420_019,QC,20210420_019,78,3
20210420_021,QC,20210420_021,79,3
20210420_023,QC,20210420_023,80,3
20210420_025,healthy,20210420_025,81,3
20210420_027,healthy,20210420_027,82,3
20210420_029,cancer,20210420_029,83,3
20210420_031,cancer,20210420_031,84,3
20210420_033,post-surgery,20210420_033,85,3
20210420_035,QC,20210420_035,86,3
20210420_037,healthy,20210420_037,87,3
20210420_039,benign,20210420_039,88,3
20210420_041,healthy,20210420_041,89,3
20210420_043,healthy,20210420_043,90,3
20210420_045,benign,20210420_045,91,3
20210420_047,QC,20210420_047,92,3
20210420_049,cancer,20210420_049,93,3
20210420_051,post-surgery,20210420_051,94,3
20210420_053,benign,20210420_053,95,3
20210420_055,cancer,20210420_055,96,3
20210420_057,cancer,20210420_057,97,3
20210420_059,QC,20210420_059,98,3
20210420_061,cancer,20210420_061,99,3
20210420_063,cancer,20210420_063,100,3
20210420_065,healthy,20210420_065,101,3
20210420_067,healthy,20210420_067,102,3
20210420_069,SRM,20210420_069,103,3
20210420_071,QC,20210420_071,104,3
20210420_073,QC,20210420_073,105,3
20210420_075,process blank,20210420_075,106,3
20210420_077,solvent,20210420_077,107,3
20210421_001,zero,20210421_001,108,4
20210421_003,solvent,20210421_003,109,4
20210421_005,process blank,20210421_005,110,4
20210421_007,cQC,20210421_007,111,4
20210421_009,cQC,20210421_009,112,4
20210421_011,cQC,20210421_011,113,4
20210421_013,cQC,20210421_013,114,4
20210421_015,cQC,20210421_015,115,4
20210421_017,cQC,20210421_017,116,4
20210421_019,QC,20210421_019,117,4
20210421_021,QC,20210421_021,118,4
20210421_023,QC,20210421_023,119,4
20210421_025,cancer,20210421_025,120,4
20210421_027,healthy,20210421_027,121,4
20210421_029,cancer,20210421_029,122,4
20210421_031,cancer,20210421_031,123,4
20210421_033,healthy,20210421_033,124,4
20210421_035,QC,20210421_035,125,4
20210421_037,post-surgery,20210421_037,126,4
20210421_039,cancer,20210421_039,127,4
20210421_041,healthy,20210421_041,128,4
20210421_043,healthy,20210421_043,129,4
20210421_045,healthy,20210421_045,130,4
20210421_047,QC,20210421_047,131,4
20210421_049,benign,20210421_049,132,4
20210421_051,cancer,20210421_051,133,4
20210421_053,post-surgery,20210421_053,134,4
20210421_055,cancer,20210421_055,135,4
20210421_057,benign,20210421_057,136,4
20210421_059,QC,20210421_059,137,4
20210421_061,healthy,20210421_061,138,4
20210421_063,benign,20210421_063,139,4
20210421_065,cancer,20210421_065,140,4
20210421_067,healthy,20210421_067,141,4
20210421_069,SRM,20210421_069,142,4
20210421_071,QC,20210421_071,143,4
20210421_073,QC,20210421_073,144,4
20210421_075,process blank,20210421_075,145,4
20210421_077,solvent,20210421_077,146,4
20210422_001,zero,20210422_001,147,5
20210422_003,solvent,20210422_003,148,5
20210422_005,process blank,20210422_005,149,5
20210422_007,cQC,20210422_007,150,5
20210422_009,cQC,20210422_009,151,5
20210422_011,cQC,20210422_011,152,5
20210422_013,cQC,20210422_013,153,5
20210422_015,cQC,20210422_015,154,5
20210422_017,cQC,20210422_017,155,5
20210422_019,QC,20210422_019,156,5
20210422_021,QC,20210422_021,157,5
20210422_023,QC,20210422_023,158,5
20210422_025,cancer,20210422_025,159,5
20210422_027,healthy,20210422_027,160,5
20210422_029,healthy,20210422_029,161,5
20210422_031,healthy,20210422_031,162,5
20210422_033,healthy,20210422_033,163,5
20210422_035,QC,20210422_035,164,5
20210422_037,cancer,20210422_037,165,5
20210422_039,benign,20210422_039,166,5
20210422_041,healthy,20210422_041,167,5
20210422_043,cancer,20210422_043,168,5
20210422_045,cancer,20210422_045,169,5
20210422_047,QC,20210422_047,170,5
20210422_049,benign,20210422_049,171,5
20210422_051,cancer,20210422_051,172,5
20210422_053,healthy,20210422_053,173,5
20210422_055,healthy,20210422_055,174,5
20210422_057,healthy,20210422_057,175,5
20210422_059,QC,20210422_059,176,5
20210422_061,benign,20210422_061,177,5
20210422_063,post-surgery,20210422_063,178,5
20210422_065,cancer,20210422_065,179,5
20210422_067,cancer,20210422_067,180,5
20210422_069,SRM,20210422_069,181,5
20210422_071,QC,20210422_071,182,5
20210422_073,QC,20210422_073,183,5
20210422_075,process blank,20210422_075,184,5
20210422_077,solvent,20210422_077,185,5
20210426_001,zero,20210426_001,186,6
20210426_003,solvent,20210426_003,187,6
20210426_005,process blank,20210426_005,188,6
20210426_007,cQC,20210426_007,189,6
20210426_009,cQC,20210426_009,190,6
20210426_011,cQC,20210426_011,191,6
20210426_013,cQC,20210426_013,192,6
20210426_015,cQC,20210426_015,193,6
20210426_017,cQC,20210426_017,194,6
20210426_019,QC,20210426_019,195,6
20210426_021,QC,20210426_021,196,6
20210426_023,QC,20210426_023,197,6
20210426_025,cancer,20210426_025,198,6
20210426_027,cancer,20210426_027,199,6
20210426_029,cancer,20210426_029,200,6
20210426_031,benign,20210426_031,201,6
20210426_033,benign,20210426_033,202,6
20210426_035,QC,20210426_035,203,6
20210426_037,cancer,20210426_037,204,6
20210426_039,post-surgery,20210426_039,205,6
20210426_041,healthy,20210426_041,206,6
20210426_043,cancer,20210426_043,207,6
20210426_045,cancer,20210426_045,208,6
20210426_047,QC,20210426_047,209,6
20210426_049,healthy,20210426_049,210,6
20210426_051,post-surgery,20210426_051,211,6
20210426_053,cancer,20210426_053,212,6
20210426_055,benign,20210426_055,213,6
20210426_057,healthy,20210426_057,214,6
20210426_059,QC,20210426_059,215,6
20210426_061,healthy,20210426_061,216,6
20210426_063,healthy,20210426_063,217,6
20210426_065,healthy,20210426_065,218,6
20210426_067,healthy,20210426_067,219,6
20210426_069,SRM,20210426_069,220,6
20210426_071,QC,20210426_071,221,6
20210426_073,QC,20210426_073,222,6
20210426_075,process blank,20210426_075,223,6
20210426_077,solvent,20210426_077,224,6
20210427_001,zero,20210427_001,225,7
20210427_003,solvent,20210427_003,226,7
20210427_005,process blank,20210427_005,227,7
20210427_007,cQC,20210427_007,228,7
20210427_009,cQC,20210427_009,229,7
20210427_011,cQC,20210427_011,230,7
20210427_013,cQC,20210427_013,231,7
20210427_015,cQC,20210427_015,232,7
20210427_017,cQC,20210427_017,233,7
20210427_019,QC,20210427_019,234,7
20210427_021,QC,20210427_021,235,7
20210427_023,QC,20210427_023,236,7
20210427_025,cancer,20210427_025,237,7
20210427_027,healthy,20210427_027,238,7
20210427_029,cancer,20210427_029,239,7
20210427_031,cancer,20210427_031,240,7
20210427_033,benign,20210427_033,241,7
20210427_035,QC,20210427_035,242,7
20210427_037,healthy,20210427_037,243,7
20210427_039,benign,20210427_039,244,7
20210427_041,healthy,20210427_041,245,7
20210427_043,post-surgery,20210427_043,246,7
20210427_045,benign,20210427_045,247,7
20210427_047,QC,20210427_047,248,7
20210427_049,post-surgery,20210427_049,249,7
20210427_051,healthy,20210427_051,250,7
20210427_053,healthy,20210427_053,251,7
20210427_055,healthy,20210427_055,252,7
20210427_057,healthy,20210427_057,253,7
20210427_059,QC,20210427_059,254,7
